DL_No;LatGr;LatMin;Latsek;LatHemisph;LonGr;LonMin;Lonsek;LonHemisph;dec_lat;dec_lon;DNAconcinwtsmpl_ng_uL;elute_vol_uL;ddH2O_add_per_elute;tot_vol_elute;dec_lat_region;dec_lon_region;rg.wtsmplloc;sampling_date;Filt.vol;Area_wt_coll_loc;wtsmplloc2
DL2017062;55;27;23.58;N;12;12;14.38;E;55.45655;12.203994;27.8;125;375;500;55.45655;12.203994;Koege_havn;0;;Koege_havn;Koege_Havn
DL2017064;55;39;54.59;N;12;34;12.66;E;55.665164;12.570183;70;125;375;500;55.665164;12.570183;Koebenhavn_havn;0;;Koebenhavn_havn;Kalvebod_brygge_3
DL2017068;56;9;34.9;N;10;13;48.19;E;56.159694;10.230053;3.9;200;800;1000;56.159694;10.230053;Aarhus_havn;0;;Aarhus_havn;Aarhus_Havn_oestmolen
DL2017070;56;2;8.59;N;12;37;3.22;E;56.035719;12.617561;17.5;125;375;500;56.035719;12.617561;Helsingoer_havn;0;;Helsingoer_havn;Helsingoer_Havn
DL2017072;57;3;4.94;N;9;55;54.85;E;57.051372;9.931903;2.94;200;800;1000;57.051372;9.931903;Aalborg_havn;0;;Aalborg_havn;Aalborg_Beddingen
DL2017076;56;2;8.59;N;12;37;3.22;E;56.035719;12.617561;9.34;200;800;1000;56.035719;12.617561;Helsingoer_havn;0;;Helsingoer_havn;Helsingoer_Havn
DL2017078;55;39;54.59;N;12;34;12.66;E;55.665164;12.570183;4.96;200;800;1000;55.665164;12.570183;Koebenhavn_havn;0;;Koebenhavn_havn;Koebenhavns_havn_Indiakaj
DL2017080;55;39;54.59;N;12;34;12.66;E;55.665164;12.570183;14.5;200;800;1000;55.665164;12.570183;Koebenhavn_havn;0;;Koebenhavn_havn;Koebenhavn_Havn
DL2017082;57;35;51.13;N;9;58;37.92;E;57.597536;9.9772;1.4;200;800;1000;57.597536;9.9772;Hirtshals_havn;0;;Hirtshals_havn;Hirtshals_Havn
DL2017084;55;39;54.59;N;12;34;12.66;E;55.665164;12.570183;32.8;200;800;1000;55.665164;12.570183;Koebenhavn_havn;0;;Koebenhavn_havn;Koebenhavn_Nordhavn_skudehavn
DL2017086;56;9;34.9;N;10;13;48.19;E;56.159694;10.230053;10.2;200;800;1000;56.159694;10.230053;Aarhus_havn;0;;Aarhus_havn;Aarhus_Havn_bassin3
DL2017090;54;34;18.71;N;11;55;39.64;E;54.571864;11.927678;9.36;200;800;1000;54.571864;11.927678;Gedser_havn;0;;Gedser_havn;Gedser_Havn
DL2017091;56;2;8.59;N;12;37;3.22;E;56.035719;12.617561;1.54;200;800;1000;56.035719;12.617561;Helsingoer_havn;0;;Helsingoer_havn;Helsingoer_Havn
DL2017092;56;2;8.59;N;12;37;3.22;E;56.035719;12.617561;2.38;200;800;1000;56.035719;12.617561;Helsingoer_havn;0;;Helsingoer_havn;Helsingoer_Havn
DL2017093;57;26;31.5;N;10;33;44.02;E;57.442083;10.562228;3.08;200;800;1000;57.442083;10.562228;Frederikshavn_havn;0;;Frederikshavn_havn;Frederikshavn_Havn
DL2017095;55;27;23.58;N;12;12;14.38;E;55.45655;12.203994;11.8;200;800;1000;55.45655;12.203994;Koege_havn;0;;Koege_havn;Mosede_Fort_Koege_Bugt
DL2018001;55;18;48.456;N;10;47;16.2636;E;55.31346;10.787851;26.2;200;0;0;55.25778245;10.05453676;Fyn;04/05/2018;300;Nyborg;Nyborg_Vold
