"","Species","sets that are failed tests, Non-approved analyses","sets that are failed tests, percentage","Approved analyses sets, no eDNA detected","Approved analyses sets, no eDNA detected, percentage","Approved analyses sets, eDNA detected","Approved analyses sets, eDNA detected, percentage","Total number of attemped sets"
"1","Bombina_bombina",50,"46%",58,"54%",0,"0%",108
"3","Bufo_bufo",50,"57%",17,"19%",21,"24%",88
"7","Bufo_calamita",40,"36%",70,"63%",1,"1%",111
"10","Bufo_viridis",47,"42%",65,"58%",1,"1%",113
"13","Hyla_arborea",38,"33%",76,"66%",1,"1%",115
"16","Ichthyosaurus_alpestris",57,"63%",33,"37%",0,"0%",90
"18","Lissotriton_vulgaris",64,"48%",35,"26%",35,"26%",134
"22","Pelobates_fuscus",49,"41%",62,"52%",8,"7%",119
"26","Pelophylax_ridibundus",49,"54%",40,"44%",2,"2%",91
"30","Rana_arvalis",70,"59%",36,"30%",13,"11%",119
"34","Rana_dalmatina",39,"32%",77,"64%",4,"3%",120
"38","Rana_lessonae",78,"86%",12,"13%",1,"1%",91
"41","Rana_temporaria",61,"67%",21,"23%",9,"10%",91
"44","Triturus_cristatus",49,"37%",74,"55%",11,"8%",134
"15",NA,741,"49%",676,"44%",107,"7%",1524
