specs,replno,qpcrrundate,DLsamplno,koerselno,spec.repl.rund.DLno.koerselno,NPC.CtdRn,NTC.CtdRn,unkn1.CtdRn,unkn2.CtdRn,unkn3.CtdRn,unkn4.CtdRn,latspc,abbr.nm,rg.wtsmplloc,dec_lat_region,dec_lon_region,DNAconcinwtsmpl_ng_uL,elute_vol_uL,ddH2O_add_per_elute,tot_vol_elute,dec_lat,dec_lon,gymnasiumnm1,eval04,n,eval05,dec_lat.j,pchsymb,pchcol
Aborre, 1,20170510,DL2017006,koerselno1,Aborre.1.20170510.DL2017006.koerselno1, 0.00,41.20,28.43, 0.00, 0.00, 0.00,Perca_fluviatilis,Per.flu,Midt_Jylland,55.75814, 8.885876,176.000,  1,NA,NA,55.70420, 9.538007,RoedkildeGym,nonapprovK,1,nonapprovK,55.649320454, 0,#A020F0
Aborre, 2,20170510,DL2017006,koerselno1,Aborre.2.20170510.DL2017006.koerselno1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,Perca_fluviatilis,Per.flu,Midt_Jylland,55.75814, 8.885876,176.000,  1,NA,NA,55.70420, 9.538007,RoedkildeGym,nonapprovK,0,nonapprovK,55.656546460, 0,#A020F0
Aborre, 1,20170511,DL2017003,koerselno1,Aborre.1.20170511.DL2017003.koerselno1, 0.00, 0.00,29.05,33.93, 0.00, 0.00,Perca_fluviatilis,Per.flu,Sjaelland,55.62879,12.051621,468.000,125,NA,NA,55.64177,12.205167,HoejeTaastrupGym,nonapprovK,2,nonapprovK,55.718566637, 0,#A020F0
Aborre, 2,20170511,DL2017003,koerselno1,Aborre.2.20170511.DL2017003.koerselno1, 0.00,39.26,29.47,33.86, 0.00, 0.00,Perca_fluviatilis,Per.flu,Sjaelland,55.62879,12.051621,468.000,125,NA,NA,55.64177,12.205167,HoejeTaastrupGym,nonapprovK,2,nonapprovK,55.717132948, 0,#A020F0
Aborre, 1,20170518,DL2017011,koerselno1,Aborre.1.20170518.DL2017011.koerselno1, 0.00, 0.00,31.09,40.77, 0.00, 0.00,Perca_fluviatilis,Per.flu,Sjaelland,55.62879,12.051621,220.000,125,NA,NA,55.67744,12.556815,VUFvoksen,nonapprovK,2,nonapprovK,55.719467364, 0,#A020F0
Aborre, 2,20170518,DL2017011,koerselno1,Aborre.2.20170518.DL2017011.koerselno1, 0.00, 0.00,34.86,36.72, 0.00, 0.00,Perca_fluviatilis,Per.flu,Sjaelland,55.62879,12.051621,220.000,125,NA,NA,55.67744,12.556815,VUFvoksen,nonapprovK,2,nonapprovK,55.608981478, 0,#A020F0
Aborre, 1,20170523,DL2017012,koerselno1,Aborre.1.20170523.DL2017012.koerselno1, 0.00, 0.00,28.52, 0.00, 0.00, 0.00,Perca_fluviatilis,Per.flu,Sjaelland,55.62879,12.051621,494.000,125,NA,NA,55.65421,12.263687,HojeTaastrupGym,nonapprovK,1,nonapprovK,55.656767138, 0,#A020F0
Aborre, 2,20170523,DL2017012,koerselno1,Aborre.2.20170523.DL2017012.koerselno1, 0.00,41.20,28.90,39.03, 0.00, 0.00,Perca_fluviatilis,Per.flu,Sjaelland,55.62879,12.051621,494.000,125,NA,NA,55.65421,12.263687,HojeTaastrupGym,nonapprovK,2,nonapprovK,55.670419319, 0,#A020F0
Aborre, 1,20170601,DL2017013,koerselno1,Aborre.1.20170601.DL2017013.koerselno1,28.77, 0.00, 0.00, 0.00, 0.00, 0.00,Perca_fluviatilis,Per.flu,Oe_Jylland,56.02339, 9.946757,306.000,125,NA,NA,55.29933,11.791324,KoegeGym,truezerodetect,0,truezerodetect,55.289153093, 0,#A020F0
Aborre, 2,20170601,DL2017013,koerselno1,Aborre.2.20170601.DL2017013.koerselno1,30.22, 0.00,40.95, 0.00, 0.00, 0.00,Perca_fluviatilis,Per.flu,Oe_Jylland,56.02339, 9.946757,306.000,125,NA,NA,55.29933,11.791324,KoegeGym,truezerodetect,1,repl1p,55.218795389, 0,#A020F0
